"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Odisha","Bargarh","Total Pulses","Total","0.04","0.02","372.00"
"Odisha","Bargarh","Total Food Grains","Kharif","2.16","6.76","3134.00"
"Odisha","Bargarh","Total Food Grains","Summer","1.05","3.69","3509.00"
"Odisha","Bargarh","Total Food Grains","Total","3.21","10.45","3257.00"
"Odisha","Bhadrak","Rice","Kharif","1.35","2.62","1941.00"
"Odisha","Bhadrak","Rice","Summer","0.03","0.07","2713.00"
"Odisha","Bhadrak","Rice","Total","1.38","2.69","1955.00"
"Odisha","Bhadrak","Maize","Summer","0.00","0.00","1933.00"
"Odisha","Bhadrak","Maize","Total","0.00","0.00","1933.00"
"Odisha","Bhadrak","Nutri/Coarse Cereals","Summer","0.00","0.00","1933.00"
"Odisha","Bhadrak","Nutri/Coarse Cereals","Total","0.00","0.00","1933.00"
"Odisha","Bhadrak","Cereals","Kharif","1.35","2.62","1941.00"
"Odisha","Bhadrak","Cereals","Summer","0.03","0.07","2712.00"
"Odisha","Bhadrak","Cereals","Total","1.38","2.69","1955.00"
"Odisha","Bhadrak","Moong","Summer","0.02","0.01","420.00"
"Odisha","Bhadrak","Moong","Total","0.02","0.01","420.00"
"Odisha","Bhadrak","Total Pulses","Total","0.02","0.01","420.00"
"Odisha","Bhadrak","Total Food Grains","Kharif","1.35","2.62","1941.00"
"Odisha","Bhadrak","Total Food Grains","Summer","0.05","0.08","1670.00"
"Odisha","Bhadrak","Total Food Grains","Total","1.40","2.70","1931.00"
"Odisha","Boudh","Rice","Kharif","0.62","1.67","2699.00"
"Odisha","Boudh","Rice","Summer","0.05","0.16","2877.00"
"Odisha","Boudh","Rice","Total","0.67","1.82","2713.00"
"Odisha","Boudh","Maize","Kharif","0.00","0.00","1206.00"
"Odisha","Boudh","Maize","Summer","0.00","0.00","1225.00"
"Odisha","Boudh","Maize","Total","0.00","0.00","1208.00"
"Odisha","Boudh","Ragi","Kharif","0.00","0.00","380.00"
"Odisha","Boudh","Ragi","Total","0.00","0.00","380.00"
"Odisha","Boudh","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","380.00"
"Odisha","Boudh","Shree Anna /Nutri Cereals","Total","0.00","0.00","380.00"
"Odisha","Boudh","Nutri/Coarse Cereals","Kharif","0.00","0.00","822.00"
"Odisha","Boudh","Nutri/Coarse Cereals","Summer","0.00","0.00","1225.00"
"Odisha","Boudh","Nutri/Coarse Cereals","Total","0.00","0.00","844.00"
"Odisha","Boudh","Cereals","Kharif","0.62","1.67","2697.00"
"Odisha","Boudh","Cereals","Summer","0.05","0.16","2876.00"
"Odisha","Boudh","Cereals","Total","0.67","1.82","2711.00"
"Odisha","Boudh","Moong","Summer","0.03","0.01","320.00"
"Odisha","Boudh","Moong","Total","0.03","0.01","320.00"
"Odisha","Boudh","Total Pulses","Total","0.03","0.01","320.00"
"Odisha","Boudh","Total Food Grains","Kharif","0.62","1.67","2697.00"
"Odisha","Boudh","Total Food Grains","Summer","0.08","0.16","1993.00"
"Odisha","Boudh","Total Food Grains","Total","0.70","1.83","2614.00"
"Odisha","Cuttack","Rice","Kharif","1.06","2.84","2682.00"
"Odisha","Cuttack","Rice","Summer","0.09","0.31","3330.00"
"Odisha","Cuttack","Rice","Total","1.15","3.15","2735.00"
"Odisha","Cuttack","Maize","Summer","0.00","0.00","3878.00"
"Odisha","Cuttack","Maize","Total","0.00","0.00","3878.00"
"Odisha","Cuttack","Nutri/Coarse Cereals","Summer","0.00","0.00","3878.00"
"Odisha","Cuttack","Nutri/Coarse Cereals","Total","0.00","0.00","3878.00"
"Odisha","Cuttack","Cereals","Kharif","1.06","2.84","2682.00"
"Odisha","Cuttack","Cereals","Summer","0.09","0.31","3332.00"
"Odisha","Cuttack","Cereals","Total","1.15","3.15","2736.00"
"Odisha","Cuttack","Moong","Summer","0.21","0.10","470.00"
"Odisha","Cuttack","Moong","Total","0.21","0.10","470.00"
"Odisha","Cuttack","Total Pulses","Total","0.21","0.10","470.00"
"Odisha","Cuttack","Total Food Grains","Kharif","1.06","2.84","2682.00"
"Odisha","Cuttack","Total Food Grains","Summer","0.30","0.41","1366.00"
"Odisha","Cuttack","Total Food Grains","Total","1.36","3.25","2391.00"
"Odisha","Deogarh","Rice","Kharif","0.32","0.71","2234.00"
"Odisha","Deogarh","Rice","Summer","0.00","0.00","1366.00"
"Odisha","Deogarh","Rice","Total","0.32","0.71","2234.00"
"Odisha","Deogarh","Maize","Kharif","0.00","0.00","2274.00"
"Odisha","Deogarh","Maize","Summer","0.00","0.00","1846.00"
"Odisha","Deogarh","Maize","Total","0.00","0.00","2132.00"
"Odisha","Deogarh","Ragi","Kharif","0.00","0.00","422.00"
"Odisha","Deogarh","Ragi","Total","0.00","0.00","422.00"
"Odisha","Deogarh","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","422.00"
"Odisha","Deogarh","Shree Anna /Nutri Cereals","Total","0.00","0.00","422.00"
"Odisha","Deogarh","Nutri/Coarse Cereals","Kharif","0.00","0.00","1489.00"
"Odisha","Deogarh","Nutri/Coarse Cereals","Summer","0.00","0.00","1846.00"
"Odisha","Deogarh","Nutri/Coarse Cereals","Total","0.00","0.00","1569.00"
"Odisha","Deogarh","Cereals","Kharif","0.32","0.71","2233.00"
"Odisha","Deogarh","Cereals","Summer","0.00","0.00","1693.00"
"Odisha","Deogarh","Cereals","Total","0.32","0.71","2233.00"
"Odisha","Deogarh","Moong","Summer","0.00","0.00","320.00"
"Odisha","Deogarh","Moong","Total","0.00","0.00","320.00"
"Odisha","Deogarh","Total Pulses","Total","0.00","0.00","320.00"
"Odisha","Deogarh","Total Food Grains","Kharif","0.32","0.71","2233.00"
"Odisha","Deogarh","Total Food Grains","Summer","0.00","0.00","440.00"
"Odisha","Deogarh","Total Food Grains","Total","0.32","0.71","2217.00"
