State,District,Year,Area (Ha),Production (Tonnes),Yield (Kg/ha)
ODISHA,RAYAGADA,2021,61132,185906,3040
ODISHA,RAYAGADA,2020,51820,148990,2880
ODISHA,SAMBALPUR,2023,122141,250678,2050
ODISHA,SAMBALPUR,2022,125810,343610,2730
ODISHA,SAMBALPUR,2021,137089,326887,2380
ODISHA,SAMBALPUR,2020,136670,414590,3030
ODISHA,SONEPUR,2023,143950,260322,1810
ODISHA,SONEPUR,2022,149330,555480,3720
ODISHA,SONEPUR,2021,131905,453264,3440
ODISHA,SONEPUR,2020,152520,544870,3570
ODISHA,SUNDARGARH,2023,182185,272157,1490
ODISHA,SUNDARGARH,2022,175680,303940,1730
ODISHA,SUNDARGARH,2021,192466,368519,1920
ODISHA,SUNDARGARH,2020,194730,450510,2310
